Tw,method,N,F,G,H,Fz,Gz,rho,T,velocity_error,derivative_error,density_error,temperature_excess_error
1.04,trapezoid,16001,0.019830101580189392,0.0027075916085625945,0.0029175415675762734,0.020209669966023254,0.016774906105204,0.000989156039550271,0.11282010399188534,0.019830101580189392,0.020209669966023254,0.000989156039550271,0.11282010399188534
1.04,simpson,16001,0.019830101580187397,0.002707591608561307,0.002917541567574153,0.020209654266167828,0.01677490531657742,0.0009891559483708166,0.1128201051677539,0.019830101580187397,0.020209654266167828,0.0009891559483708166,0.1128201051677539
1.04,trapezoid,32001,0.019830101580189018,0.0027075916085623534,0.002917541567575202,0.020209658191077604,0.0167749055137051,0.0009891559711654849,0.11282010487377184,0.019830101580189018,0.020209658191077604,0.0009891559711654849,0.11282010487377184
1.04,simpson,32001,0.019830101580188893,0.002707591608562273,0.002917541567574845,0.020209654266086754,0.01677490531653879,0.000989155948370555,0.112820105167734,0.019830101580188893,0.020209654266086754,0.000989155948370555,0.112820105167734
1.05,adaptive_cubic,0,0.02409433715629139,0.003292142662895435,0.003633140785869836,0.02463579495744795,0.020460229815265702,0.0010098390099865537,0.09923265558202811,0.02409433715629139,0.02463579495744795,0.0010098390099865537,0.09923265558202811
1.05,adaptive_pchip,0,0.024094338019522252,0.0032921425462002552,0.003633140525494511,0.02463579780191545,0.020460195852106174,0.0010098390091375239,0.09923265555726214,0.024094338019522252,0.02463579780191545,0.0010098390091375239,0.09923265555726214
1.05,trapezoid,251,0.02409430541156581,0.0032921424649664886,0.003633140807013657,0.024719414009557173,0.020465663561419486,0.0010104402471022244,0.09922673515484132,0.02409430541156581,0.024719414009557173,0.0010104402471022244,0.09922673515484132
1.05,simpson,251,0.024094461514360108,0.003292143593914654,0.0036331407348710112,0.02463720130961976,0.020460091081224492,0.0010098439722378762,0.09923292636820386,0.024094461514360108,0.02463720130961976,0.0010098439722378762,0.09923292636820386
1.05,trapezoid,501,0.02409433527813452,0.0032921426667395495,0.0036331407992186275,0.024656910451513584,0.020461581780333752,0.0010099895868291304,0.09923118816517779,0.02409433527813452,0.024656910451513584,0.0010099895868291304,0.09923118816517779
1.05,simpson,501,0.024094345233615852,0.0032921427339972333,0.0036331407966202845,0.02463588225161727,0.02046022101508612,0.001009839322099157,0.09923267263272652,0.024094345233615852,0.02463588225161727,0.001009839322099157,0.09923267263272652
1.05,trapezoid,1001,0.024094337155616652,0.0032921426791713937,0.003633140798120876,0.024641087007079725,0.020460567185574503,0.0010098766710306764,0.0992322895278348,0.024094337155616652,0.024641087007079725,0.0010098766710306764,0.0992322895278348
1.05,simpson,1001,0.024094337781443865,0.0032921426833153423,0.0036331407977549584,0.024635800247922456,0.020460228976756027,0.001009839029628816,0.09923265665683176,0.024094337781443865,0.024635800247922456,0.001009839029628816,0.09923265665683176
1.05,trapezoid,2001,0.024094337157542344,0.0032921426637668983,0.003633140786693146,0.02463711888497985,0.020460314277996522,0.001009848426262686,0.09923256411676341,0.024094337157542344,0.02463711888497985,0.001009848426262686,0.09923256411676341
