Tw,z,F_i,G_i,minus_G_i,H_i,T_i,F_c,G_c,H_c,T_c,rho_c,dF_c_minus_i,dG_c_minus_i_raw,dG_c_minus_minus_Gi,dH_c_minus_i,dT_c_minus_i
1.5,7.1000000000000005,0.00180679906553374,0.999927712697218,-0.999927712697218,-1.4449614196517138,1.0008031891982587,0.004237405003815081,-0.9944513110505281,-0.8899686394198054,1.01727318392068,0.983020112793982,0.0024306059382813404,-1.9943790237477461,0.0054764016466899434,0.5549927802319083,0.016469994722421166
1.5,7.11,0.001788442765194418,0.9999287517968053,-0.9999287517968053,-1.4449973717770155,1.0007948662850712,0.004200988409480714,-0.9944993463857059,-0.889959130850778,1.017165868102296,0.9831238260733995,0.0024125456442862965,-1.994428098182511,0.005429405411099375,0.5550382409262374,0.01637100181722473
1.5,7.12,0.0017702712167152457,0.9999297759625598,-0.9999297759625598,-1.4450329586086694,1.0007866295189676,0.004164874539869644,-0.9945469764453597,-0.8899494603571476,1.0170591948478278,0.9832269400500526,0.0023946033231543977,-1.9944767524079197,0.00538279951720011,0.5550834982515218,0.016272565328860233
1.5,7.13,0.0017522825860251414,0.9999307854092229,-0.9999307854092229,-1.4450681838262025,1.0007784780096975,0.004129071191816467,-0.9945941908977561,-0.88993962549411,1.016953182290642,0.9833294368060724,0.0023767886057913254,-1.994524976306979,0.00533659451146673,0.5551285583320925,0.016174704280944363
1.5,7.140000000000001,0.0017344750414022706,0.999931780351118,-0.999931780351118,-1.4451030511043077,1.0007704108682254,0.004093561503344786,-0.994641012411526,-0.8899296368099895,1.0168477960433275,0.9834313492059635,0.0023590864619425153,-1.994572792762644,0.005290767939591934,0.5551734142943182,0.016077385175102155
1.5,7.15,0.0017168467884039554,0.9999327609961066,-0.9999327609961066,-1.4451375640411264,1.0007624272247027,0.004058361426660303,-0.9946874197475571,-0.8899194876615009,1.0167430717015389,0.9835326424467107,0.002341514638256348,-1.9946201807436639,0.005245341248549473,0.5552180763796255,0.015980644476836225
1.5,7.16,0.0016993960623835356,0.9999337275469771,-0.9999337275469771,-1.445171726173697,1.00075452622457,0.004023448066266454,-0.9947334436293206,-0.8899091914514728,1.0166389617224862,0.9836333621384185,0.0023240520038829184,-1.9946671711762978,0.005200283917656479,0.5552625347222241,0.015884435497916183
1.5,7.17,0.0016821210995247697,0.9999346802063825,-0.9999346802063825,-1.4452055410373597,1.0007467070136917,0.003988839580452446,-0.9947790598741619,-0.889898740514013,1.0165355065258506,0.9837334688068468,0.0023067184809276763,-1.9947137400805444,0.005155620332220612,0.5553068005233467,0.015788799512158835
1.5,7.18,0.001665020138182636,0.9999356191765975,-0.9999356191765975,-1.445239012162994,1.0007389687390496,0.003954514975303805,-0.9948242966465235,-0.8898881470901937,1.0164326624908229,0.9838330042931189,0.002289494837121169,-1.994759915823121,0.005111322530073958,0.5553508650728004,0.01569369375177332
1.5,7.19,0.0016480914523056595,0.9999365446538497,-0.9999365446538497,-1.4452721430085,1.0007313105658835,0.003920486407774849,-0.9948691377915861,-0.8898774067422821,1.0163304573369023,0.9839319414084144,0.00227239495546919,-1.9948056824454359,0.00506740686226359,0.5553947362662179,0.015599146771018813
1.5,7.2,0.0016313333448934552,0.9999374568295197,-0.9999374568295197,-1.445304936972288,1.0007237316742894,0.003886740959469286,-0.9949136006662589,-0.889866527487648,1.016228864681515,0.984030305332253,0.0022554076145758313,-1.9948510574957785,0.0050238561632608425,0.5554384094846399,0.015505133007225558
1.5,7.21,0.0016147441197926148,0.9999383558948511,-0.9999383558948511,-1.445337397451039,1.0007162312447935,0.003853282955874568,-0.9949576795832782,-0.8898555087954925,1.016127895360107,0.9841280852206195,0.002238538836081953,-1.9948960354781293,0.004980676311572951,0.5554818886555466,0.015411664115313473
1.5,7.22,0.0015983220828550528,0.9999392420407461,-0.9999392420407461,-1.445369527837321,1.000708808458951,0.0038201072105227152,-0.9950013815599075,-0.8898443547244334,1.0160275395568015,0.9842252902280653,0.0022217851276676625,-1.9949406236006535,0.004937860480838663,0.5555251731128877,0.015318731097850424
1.5,7.23,0.0015820655739078307,0.9999401154524493,-0.9999401154524493,-1.4454013314541407,1.0007014625156863,0.00378721056221369,-0.9950447109067885,-0.8898330683222527,1.0159277918231633,0.9843219252870525,0.0022051449883058595,-1.9949848263592378,0.004895404545660842,0.555568263131888,0.015226329307477027
1.5,7.24,0.0015659729610947167,0.9999409763105734,-0.9999409763105734,-1.4454328115666033,1.0006941926283552,0.0037545952030381214,-0.9950876647841689,-0.8898216500566565,1.0158286583313851,0.984417984074809,0.002188622241943405,-1.9950286410947422,0.004853311526404558,0.5556111615099468,0.015134465703029898
1.5,7.25,0.0015500426134223437,0.9999418247955958,-0.9999418247955958,-1.4454639714380533,1.0006869980107518,0.0037222508420590044,-0.9951302570128174,-0.8898101062872255,1.015730118050829,0.9845134866326355,0.002172208228636661,-1.9950720818084133,0.004811567782778359,0.5556538651508278,0.01504312004007713
