Hinf,Tw,Fp0,Gp0,Tp0,nodes
-6.650000000000e-01,1.043032660284e+00,4.840635942182e-01,5.911487368132e-01,-1.318975741103e-02,6.180000000000e+02
-6.600000000000e-01,1.043470725569e+00,4.838146563389e-01,5.908290260252e-01,-1.330879520404e-02,6.180000000000e+02
-6.550000000000e-01,1.043889594072e+00,4.835779706880e-01,5.905191712941e-01,-1.342195031898e-02,6.180000000000e+02
-6.500000000000e-01,1.044289574261e+00,4.833533335598e-01,5.902190828377e-01,-1.352934447141e-02,6.180000000000e+02
-6.450000000000e-01,1.044670973059e+00,4.831405421864e-01,5.899286693032e-01,-1.363109765211e-02,6.180000000000e+02
-6.400000000000e-01,1.045034095818e+00,4.829393947789e-01,5.896478378045e-01,-1.372732814387e-02,6.180000000000e+02
-6.350000000000e-01,1.045379246296e+00,4.827496905675e-01,5.893764939607e-01,-1.381815253852e-02,6.180000000000e+02
-6.300000000000e-01,1.045706726627e+00,4.825712298422e-01,5.891145419357e-01,-1.390368575393e-02,6.180000000000e+02
-6.250000000000e-01,1.046016837299e+00,4.824038139923e-01,5.888618844777e-01,-1.398404105125e-02,6.180000000000e+02
-6.200000000000e-01,1.046309877129e+00,4.822472455461e-01,5.886184229596e-01,-1.405933005241e-02,6.180000000000e+02
-6.150000000000e-01,1.046586143236e+00,4.821013282096e-01,5.883840574202e-01,-1.412966275769e-02,6.180000000000e+02
-6.100000000000e-01,1.046845931018e+00,4.819658669046e-01,5.881586866049e-01,-1.419514756373e-02,6.180000000000e+02
-6.050000000000e-01,1.047089534128e+00,4.818406678060e-01,5.879422080073e-01,-1.425589128176e-02,6.180000000000e+02
-6.000000000000e-01,1.047317244453e+00,4.817255383786e-01,5.877345179107e-01,-1.431199915620e-02,6.180000000000e+02
-5.950000000000e-01,1.047529352094e+00,4.816202874119e-01,5.875355114291e-01,-1.436357488374e-02,6.180000000000e+02
-5.900000000000e-01,1.047726145345e+00,4.815247250548e-01,5.873450825488e-01,-1.441072063280e-02,6.180000000000e+02
-5.850000000000e-01,1.047907910676e+00,4.814386628485e-01,5.871631241684e-01,-1.445353706361e-02,6.180000000000e+02
-5.800000000000e-01,1.048074932718e+00,4.813619137581e-01,5.869895281398e-01,-1.449212334884e-02,6.180000000000e+02
-5.750000000000e-01,1.048227494250e+00,4.812942922025e-01,5.868241853067e-01,-1.452657719488e-02,6.180000000000e+02
