sample,Hinf,Tw,temporal_degree,rank_by_real_part,eigen_real,eigen_imag,positive_real_count,closest_to_zero_real,closest_to_zero_imag
middle,-0.3,1.0385768099155694,50,3,-0.0001736764170541434,-7.61722909539075e-05,1,-2.7117434240536824e-05,0.0
middle,-0.3,1.0385768099155694,50,4,-0.0001736764170541434,7.617229095390752e-05,1,-2.7117434240536824e-05,0.0
middle,-0.3,1.0385768099155694,50,5,-0.00021267162156568537,0.0,1,-2.7117434240536824e-05,0.0
middle,-0.3,1.0385768099155694,50,6,-0.0002936863135311305,0.005571766887209567,1,-2.7117434240536824e-05,0.0
middle,-0.3,1.0385768099155694,50,7,-0.0002936863135311305,-0.005571766887209567,1,-2.7117434240536824e-05,0.0
middle,-0.3,1.0385768099155694,50,8,-0.0006572759664641856,0.00017521996543621638,1,-2.7117434240536824e-05,0.0
middle,-0.3,1.0385768099155694,50,9,-0.0006572759664641856,-0.00017521996543621638,1,-2.7117434240536824e-05,0.0
middle,-0.3,1.0385768099155694,50,10,-0.0007113278694566681,0.0,1,-2.7117434240536824e-05,0.0
middle,-0.3,1.0385768099155694,50,11,-0.0015998017555444676,-0.0002981003645458676,1,-2.7117434240536824e-05,0.0
middle,-0.3,1.0385768099155694,50,12,-0.0015998017555444678,0.00029810036454586754,1,-2.7117434240536824e-05,0.0
middle,-0.3,1.0385768099155694,70,1,0.04175985852754157,0.0,1,-1.383990679744943e-05,0.0
middle,-0.3,1.0385768099155694,70,2,-1.383990679744943e-05,0.0,1,-1.383990679744943e-05,0.0
middle,-0.3,1.0385768099155694,70,3,-8.864889012633143e-05,3.895603090815795e-05,1,-1.383990679744943e-05,0.0
middle,-0.3,1.0385768099155694,70,4,-8.864889012633144e-05,-3.8956030908157955e-05,1,-1.383990679744943e-05,0.0
middle,-0.3,1.0385768099155694,70,5,-0.00010866435135840986,0.0,1,-1.383990679744943e-05,0.0
middle,-0.3,1.0385768099155694,70,6,-0.0001967417391505784,-0.004275847510788261,1,-1.383990679744943e-05,0.0
middle,-0.3,1.0385768099155694,70,7,-0.0001967417391505784,0.004275847510788262,1,-1.383990679744943e-05,0.0
middle,-0.3,1.0385768099155694,70,8,-0.0003364055195806595,9.049927135405716e-05,1,-1.383990679744943e-05,0.0
middle,-0.3,1.0385768099155694,70,9,-0.00033640551958065955,-9.049927135405716e-05,1,-1.383990679744943e-05,0.0
middle,-0.3,1.0385768099155694,70,10,-0.0003645152500315829,0.0,1,-1.383990679744943e-05,0.0
