T,mu_chapman,mu_sutherland,rho_mu_chapman,rho_mu_sutherland,nu_chapman,nu_sutherland,dmu_dT_chapman,dmu_dT_sutherland,rel_mu_sutherland_minus_chapman,rel_rho_mu_sutherland_minus_chapman
1.907,1.907,1.605940345724382,1.0,0.8421291797191305,3.6366490000000002,3.0625282392963964,1.0,0.5723426586103131,-0.15787082028086946,-0.15787082028086952
1.908,1.908,1.606512607789688,1.0,0.8419877399317024,3.6404639999999997,3.0652260556627247,1.0,0.572181492196391,-0.1580122600682976,-0.1580122600682976
1.909,1.909,1.6070847087491396,0.9999999999999999,0.8418463639335461,3.6442810000000003,3.067924709002108,1.0,0.5720204468767469,-0.15815363606645388,-0.15815363606645386
1.9100000000000001,1.9100000000000001,1.60765664872376,1.0,0.8417050516878325,3.6481000000000003,3.0706241990623817,1.0,0.5718595225113899,-0.1582949483121676,-0.1582949483121675
1.911,1.911,1.608228427834434,0.9999999999999999,0.8415638031577363,3.6519210000000006,3.073324525591604,1.0,0.5716987189605416,-0.1584361968422637,-0.15843619684226365
1.912,1.912,1.6088000462019059,0.9999999999999999,0.841422618306436,3.655744,3.0760256883380444,1.0,0.5715380360846334,-0.15857738169356383,-0.15857738169356386
1.913,1.913,1.6093715039467815,1.0,0.8412814970971153,3.659569,3.078727687050193,1.0,0.5713774737443083,-0.15871850290288475,-0.1587185029028847
1.9140000000000001,1.9140000000000001,1.6099428011895267,1.0,0.8411404394929607,3.6633960000000005,3.0814305214767543,1.0,0.5712170318004195,-0.1588595605070394,-0.1588595605070393
1.915,1.915,1.6105139380504685,0.9999999999999999,0.8409994454571637,3.6672250000000006,3.0841341913666476,1.0,0.5710567101140304,-0.15900055454283632,-0.15900055454283626
1.916,1.916,1.6110849146497943,1.0,0.8408585149529199,3.6710559999999997,3.0868386964690058,1.0,0.5708965085464129,-0.15914148504708017,-0.15914148504708014
1.917,1.917,1.6116557311075543,1.0,0.8407176479434295,3.674889,3.0895440365331814,1.0,0.5707364269590496,-0.15928235205657051,-0.1592823520565705
